ComplaintNo,Date,Complaint,Complaint Completed,Result
5066,9/19/2017 12:00:00 AM,complainant believes car was wrongfully towed and tower was rude and abbusive,9/25/2017 12:00:00 AM,no violations found against towing company
5066,,"Complainant alleges wrongful towing from Rugg Road, Brighton",,"Complainant's car was towed from Emery Road, which BPD confirms is a private way. No violations found."
3414,4/2/2019 12:00:00 AM,Complainant believes she was overcharged for a recent involuntary tow.,4/12/2019 12:00:00 AM,No towing violations found against company.
52721,3/25/2019 12:00:00 AM,Complainant believes his vehicle was srongfully towed,4/11/2019 12:00:00 AM,no towing violations found against company.
52721,3/5/2019 12:00:00 AM,Complainant believes she was wrongfully towed.,4/9/2019 12:00:00 AM,Tower overcharged for drop fee.
52721,11/3/2018 12:00:00 AM,Complainant believes he was overcharged for a drop fee during a recent involuntary tow.,12/5/2018 12:00:00 AM,Towere refunded difference on drop fee.
52721,9/28/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed.,10/12/2018 12:00:00 AM,No violations found against towing company
52721,9/20/2018 12:00:00 AM,Complainant believes he was overcharged a drop fee during a recent tow.,10/16/2018 12:00:00 AM,tower agreed to a partial refund for drop fee.
52721,8/22/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed in the Seaport District,9/7/2018 12:00:00 AM,no violations found against towing company.
52721,8/14/2018 12:00:00 AM,Complainant believes her car war wrongfully towed from a parking lot in South Boston.,9/6/2018 12:00:00 AM,"parking lot clearly marked, no violations found against tower."
52721,6/19/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from a McDonald's parking lot.,7/10/2018 12:00:00 AM,"Business was closed, no towing violations found against company"
52721,6/19/2018 12:00:00 AM,complainant believes her vehicle was wrongfully towed,7/10/2018 12:00:00 AM,No violations found against towing company.
52721,5/15/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from bank parking lot.,6/8/2018 12:00:00 AM,no violations found against towing company
52721,11/27/2017 12:00:00 AM,Complainant believes his vehicle was wrongfully towed from a 15-minute parking space.,12/15/2017 12:00:00 AM,no violations found against tower
52721,7/11/2017 12:00:00 AM,Complainant believes her vehicle was wrongfully towed,8/3/2017 12:00:00 AM,no violations found against towing company
48797,3/12/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed during snow emergency.,5/22/2018 12:00:00 AM,no violations found against towing company.
48797,10/31/2017 12:00:00 AM,Complainant believes his vehicle was damaged during a tow.,,Complainant was given insurance information in order to submit a claim for damages.
48797,7/1/2017 12:00:00 AM,complainant believes her vehicle was wrongfully towed,11/16/2017 12:00:00 AM,no violations found against towing company
18219,10/2/2017 12:00:00 AM,Complainant believes his vehicle was wrongfully towed,10/18/2017 12:00:00 AM,no violations found against tower
2107,2/27/2017 12:00:00 AM,Insurance company believes client was overcharged for recent tow,4/7/2017 12:00:00 AM,no violations found against towing company
4549,12/4/2017 12:00:00 AM,complainant says he was charged the full tow amount for a drop tow situation.,12/21/2017 12:00:00 AM,no violations found against towing company
37645,9/17/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed and he was overcharged.,10/17/2018 12:00:00 AM,Tower agreed to partial refund
37645,2/15/2018 12:00:00 AM,Complainant believes both he and his wife's car were wrongfully towed,7/21/2018 12:00:00 AM,Tower was required to refund both mileage and fuel costs for each vehicle.
37923,4/12/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed,5/16/2018 12:00:00 AM,Tower refunded one day storage
37923,7/31/2017 12:00:00 AM,Complainant believes he was overcharged for a towing drop fee.,10/17/2017 12:00:00 AM,no violations found against tower. No evidence tow occurred
31504,10/20/2017 12:00:00 AM,Insurance company believes tower overcharged for storage and admin charges,12/15/2017 12:00:00 AM,Department ordered tower to refund amount for washing of tow truck
31504,7/5/2017 12:00:00 AM,Complainant believes he was overcharged on a recent involuntary tow,8/2/2017 12:00:00 AM,tower refunded money charged for fuel
37543,3/15/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,3/29/2019 12:00:00 AM,No towing violations found against company.
37543,11/7/2017 12:00:00 AM,Complainant requested DPU to assist with $500 towing bill.,11/9/2017 12:00:00 AM,"Department contacted tower, received invoice, no violations of towing statutes. Vehicle owned by Sal Burra of Lowell, MA. Complainant was advised that any further complaint would need to come from vehicle owner"
37543,1/9/2017 12:00:00 AM,Complainant believes he was overcharged for a recent tow,,No violations found against towing company
3792,10/10/2017 12:00:00 AM,Police officer questions charges related to towing of postal service truck following and accident.,10/31/2017 12:00:00 AM,Tower decided to refund amounts questioned by CPD.
961,4/5/2018 12:00:00 AM,Complainant believes she was overcharged for the towing of her vehicle,,Tower refunded both one day of storage as well as a gate fee.
48650,5/9/2019 12:00:00 AM,Commercial tow. Complainant believes he was overcharged.,5/17/2019 12:00:00 AM,Commercial tow. No violations found againt towing company.
36178,4/1/2017 12:00:00 AM,Complainant believes she was overcharged for a tow in Danvers,4/19/2017 12:00:00 AM,tower agreed to refund one day of storage fee.
37443,11/21/2017 12:00:00 AM,Commercial trailer was towed. Complainant is a reposession company and wanted updated invoice from tower,11/27/2017 12:00:00 AM,Department contacted tower and had them send an updated invoice to reposession company. Complainant was also furnished state towing statutes showing commercial tow regulations.
4483,1/27/2017 12:00:00 AM,complainant believes her car was wrongfully towed,2/22/2017 12:00:00 AM,no violations found against tower
7887,4/18/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,5/17/2019 12:00:00 AM,company agreed to refund overage
7887,4/5/2017 12:00:00 AM,Complainant believes he was wrongfully charged for the towing of his vehicle.,7/12/2017 12:00:00 AM,tow company agreed to refund mileage charge.
4736,3/27/2017 12:00:00 AM,Complainant believes vehicle was unlawfully towed due to incorect construction signage,4/18/2017 12:00:00 AM,no violations found against tower
26297,10/11/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed during a recent emergency.,10/29/2018 12:00:00 AM,Tow ordered by BPD. No violations found against towing company.
26297,10/11/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,10/30/2018 12:00:00 AM,Tow ordered by Boston Housing. No violations found against tower.
26297,12/13/2017 12:00:00 AM,complainant believes her car was wrongfully towed,1/10/2018 12:00:00 AM,No violations found against towing company.
26297,10/10/2017 12:00:00 AM,Complainant believes his car was wrongfully towed in Charlestown,11/6/2017 12:00:00 AM,Complainant did not have housing sticker on vehicle. No violations found against tower.
26297,4/21/2017 12:00:00 AM,complainant believes his vehicle was wrongfully towed,5/12/2017 12:00:00 AM,no violations found against towing company
26297,4/12/2017 12:00:00 AM,Complainant believes her car was wrongfully towed,7/13/2017 12:00:00 AM,no violations found against towing company
26297,2/1/2017 12:00:00 AM,complainant believes she was wronguflly towed,3/3/2017 12:00:00 AM,no violations found against towing company
48623,5/25/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed from a parking garage.,6/4/2019 12:00:00 AM,Tow authorized by management company agreement. No violations found.
48623,4/26/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,5/23/2019 12:00:00 AM,No violations found against towing company.
48623,11/20/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from a school parking lot.,12/6/2018 12:00:00 AM,No violations found against towing company.
48623,10/31/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from a school parking lot.,12/5/2018 12:00:00 AM,No violations found against towing company.
48623,9/17/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed and damaged.,10/16/2018 12:00:00 AM,no towing violations found against company
48623,6/11/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed and disposed of in 2017 while he was out of the country.,8/1/2018 12:00:00 AM,No violations of towing statutes by this company.
48623,4/5/2018 12:00:00 AM,complainant believes her car was wrongfully towed for trespassing.,4/26/2018 12:00:00 AM,no violations found against towing company
48623,1/11/2018 12:00:00 AM,Complainant questions the need for a certified letter if vehicle was picked up the next day.,1/27/2018 12:00:00 AM,No violations found agains towing company.
48623,12/24/2017 12:00:00 AM,Complainant belueves his vehicle was wrongfully towed for 'blocking',1/26/2018 12:00:00 AM,No violations found against towing company
48623,12/12/2017 12:00:00 AM,Complainant believes his vehicle was wrongfully towed from School Street in Charlestown ma,12/21/2017 12:00:00 AM,no violations found against towing company
48623,8/23/2017 12:00:00 AM,Complainant believes he was wrongfully charged an extra day of storage on an involuntary tow,8/31/2017 12:00:00 AM,Tower agreed to refund one day of storage to complainant
