ComplaintNo,Date,Complaint,Complaint Completed,Result,Address,Cert #,City,DBA,Name,State,Telephone
5066,9/19/2017 12:00:00 AM,complainant believes car was wrongfully towed and tower was rude and abbusive,9/25/2017 12:00:00 AM,no violations found against towing company,12 GRANT AVENUE,21852,BELMONT,,FRANK'S TOWING,MA,7815931200.0
5066,,"Complainant alleges wrongful towing from Rugg Road, Brighton",,"Complainant's car was towed from Emery Road, which BPD confirms is a private way. No violations found.",12 GRANT AVENUE,21852,BELMONT,,FRANK'S TOWING,MA,7815931200.0
3414,4/2/2019 12:00:00 AM,Complainant believes she was overcharged for a recent involuntary tow.,4/12/2019 12:00:00 AM,No towing violations found against company.,25 CREEK STREET,14788,BEVERLY,BIG JIM'S TOWING,"BIG JIM'S AUTO BODY, INC.",MA,9789278420.0
52721,3/25/2019 12:00:00 AM,Complainant believes his vehicle was srongfully towed,4/11/2019 12:00:00 AM,no towing violations found against company.,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,3/5/2019 12:00:00 AM,Complainant believes she was wrongfully towed.,4/9/2019 12:00:00 AM,Tower overcharged for drop fee.,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,11/3/2018 12:00:00 AM,Complainant believes he was overcharged for a drop fee during a recent involuntary tow.,12/5/2018 12:00:00 AM,Towere refunded difference on drop fee.,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,9/28/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed.,10/12/2018 12:00:00 AM,No violations found against towing company,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,9/20/2018 12:00:00 AM,Complainant believes he was overcharged a drop fee during a recent tow.,10/16/2018 12:00:00 AM,tower agreed to a partial refund for drop fee.,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,8/22/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed in the Seaport District,9/7/2018 12:00:00 AM,no violations found against towing company.,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,8/14/2018 12:00:00 AM,Complainant believes her car war wrongfully towed from a parking lot in South Boston.,9/6/2018 12:00:00 AM,"parking lot clearly marked, no violations found against tower.",46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,6/19/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from a McDonald's parking lot.,7/10/2018 12:00:00 AM,"Business was closed, no towing violations found against company",46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,6/19/2018 12:00:00 AM,complainant believes her vehicle was wrongfully towed,7/10/2018 12:00:00 AM,No violations found against towing company.,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,5/15/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed from bank parking lot.,6/8/2018 12:00:00 AM,no violations found against towing company,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,11/27/2017 12:00:00 AM,Complainant believes his vehicle was wrongfully towed from a 15-minute parking space.,12/15/2017 12:00:00 AM,no violations found against tower,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
52721,7/11/2017 12:00:00 AM,Complainant believes her vehicle was wrongfully towed,8/3/2017 12:00:00 AM,no violations found against towing company,46 NEWMARKET SQ,31780,BOSTON,E & J TRANSPORT LLC,EASTCOAST TOWING,MA,7815931200.0
48797,3/12/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed during snow emergency.,5/22/2018 12:00:00 AM,no violations found against towing company.,255 SOUTHAMPTON STREET Rear,30930,BOSTON,,WALSH TOWING CO,MA,6172681200.0
48797,10/31/2017 12:00:00 AM,Complainant believes his vehicle was damaged during a tow.,,Complainant was given insurance information in order to submit a claim for damages.,255 SOUTHAMPTON STREET Rear,30930,BOSTON,,WALSH TOWING CO,MA,6172681200.0
48797,7/1/2017 12:00:00 AM,complainant believes her vehicle was wrongfully towed,11/16/2017 12:00:00 AM,no violations found against towing company,255 SOUTHAMPTON STREET Rear,30930,BOSTON,,WALSH TOWING CO,MA,6172681200.0
18219,10/2/2017 12:00:00 AM,Complainant believes his vehicle was wrongfully towed,10/18/2017 12:00:00 AM,no violations found against tower,1200 MONTELLO STREET,27314,BROCKTON,MONTELLO BUSINESS ASSOC INC,LYNCH'S TOWING,MA,6172850826.0
2107,2/27/2017 12:00:00 AM,Insurance company believes client was overcharged for recent tow,4/7/2017 12:00:00 AM,no violations found against towing company,25 WALL STREET,4777,BURLINGTON,RICHARD MORGAN & EDWARD IGO,WINN ST. SERVICE,MA,
4549,12/4/2017 12:00:00 AM,complainant says he was charged the full tow amount for a drop tow situation.,12/21/2017 12:00:00 AM,no violations found against towing company,50 MOONEY STREET,20303,CAMBRIDGE,,B & B TOWING INC,MA,5083781166.0
37645,9/17/2018 12:00:00 AM,Complainant believes his vehicle was wrongfully towed and he was overcharged.,10/17/2018 12:00:00 AM,Tower agreed to partial refund,162 Alewife Parkway,30470,CAMBRIDGE,,BOSTONIAN TOWING SERVICE INC,MA,5086501202.0
37645,2/15/2018 12:00:00 AM,Complainant believes both he and his wife's car were wrongfully towed,7/21/2018 12:00:00 AM,Tower was required to refund both mileage and fuel costs for each vehicle.,162 Alewife Parkway,30470,CAMBRIDGE,,BOSTONIAN TOWING SERVICE INC,MA,5086501202.0
37923,4/12/2018 12:00:00 AM,Complainant believes her vehicle was wrongfully towed,5/16/2018 12:00:00 AM,Tower refunded one day storage,868 TURNPIKE STREET,30646,CANTON,,PAT'S TOWING,MA,7819630699.0
37923,7/31/2017 12:00:00 AM,Complainant believes he was overcharged for a towing drop fee.,10/17/2017 12:00:00 AM,no violations found against tower. No evidence tow occurred,868 TURNPIKE STREET,30646,CANTON,,PAT'S TOWING,MA,7819630699.0
31504,10/20/2017 12:00:00 AM,Insurance company believes tower overcharged for storage and admin charges,12/15/2017 12:00:00 AM,Department ordered tower to refund amount for washing of tow truck,6 ROLAND STREET,29180,CHARLESTOWN,,CITY SIDE ENTERPRISES INC,MA,7813371009.0
31504,7/5/2017 12:00:00 AM,Complainant believes he was overcharged on a recent involuntary tow,8/2/2017 12:00:00 AM,tower refunded money charged for fuel,6 ROLAND STREET,29180,CHARLESTOWN,,CITY SIDE ENTERPRISES INC,MA,7813371009.0
37543,3/15/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,3/29/2019 12:00:00 AM,No towing violations found against company.,76 Riverneck Road,30408,CHELMSFORD,,CHRISTOPHER'S EMERGENCY EQUIP,MA,9789340697.0
37543,3/15/2019 12:00:00 AM,Complainant believes his vehicle was wrongfully towed.,3/29/2019 12:00:00 AM,No towing violations found against company.,76 Riverneck Road,30408,CHELMSFORD,,CHRISTOPHER'S EMERGENCY EQUIP,MA,9789340697.0
37543,11/7/2017 12:00:00 AM,Complainant requested DPU to assist with $500 towing bill.,11/9/2017 12:00:00 AM,"Department contacted tower, received invoice, no violations of towing statutes. Vehicle owned by Sal Burra of Lowell, MA. Complainant was advised that any further complaint would need to come from vehicle owner",76 Riverneck Road,30408,CHELMSFORD,,CHRISTOPHER'S EMERGENCY EQUIP,MA,9789340697.0
37543,11/7/2017 12:00:00 AM,Complainant requested DPU to assist with $500 towing bill.,11/9/2017 12:00:00 AM,"Department contacted tower, received invoice, no violations of towing statutes. Vehicle owned by Sal Burra of Lowell, MA. Complainant was advised that any further complaint would need to come from vehicle owner",76 Riverneck Road,30408,CHELMSFORD,,CHRISTOPHER'S EMERGENCY EQUIP,MA,9789340697.0
37543,1/9/2017 12:00:00 AM,Complainant believes he was overcharged for a recent tow,,No violations found against towing company,76 Riverneck Road,30408,CHELMSFORD,,CHRISTOPHER'S EMERGENCY EQUIP,MA,9789340697.0
