Address,Authority,Cert #,City,Complaints,DBA,Name,State,Telephone
907 BEDFORD STREET,TOWER,31615,ABINGTON,52483,STONE'S AUTO RECYCLING INC,ABINGTON SUNOCO,MA,7818266484
346 North Avenue,TOWER,31563,ABINGTON,52379,,BLACKWATER TOWING INC,MA,6178470005
325 WASHINGTON STREET,TOWER,27984,ABINGTON,25852,,"ROUTE 18 AUTO BODY, INC.",MA,7818263804
288 NORTH AVENUE,TOWER,14787,ABINGTON,3413,"UNIVERSAL AUTO BODY, INC.","UNIVERSAL AUTO BODY, INC.",MA,7818785700
21 KEEFE ROAD,TOWER,25499,ACTON,48949,WORLD AUTO CARS INC,INTERNATIONAL COLLISION CENTER,MA,9783694313
5 WILLOW STREET,TOWER,30954,ACTON,48814,,SAL'S AUTO & TRUCK REPAIR,MA,9786575100
95 COMMERCIAL STREET,TOWER,30971,ADAMS,48831,,"AL'S SERVICE CENTER, INC.",MA,8882408803
101 HOWLAND AVENUE,TOWER,24069,ADAMS,5920,,"FILLION, INC.",MA,4136649366
100 BUCKLIN ROAD,TOWER,15871,ADAMS,3586,,SEBASTINO'S SERVICE & USED CAR,MA,4136641053
1363 MAIN STREET,TOWER,26778,AGAWAM,16104,,A-C-E AUTO BODY,MA,8602591423
61 RAMAH CIRCLE South,TOWER,29567,AGAWAM,34221,,LANGONET INC,MA,4137817000
245 SPRINGFIELD STREET,TOWER,15260,AGAWAM,3486,,SARAT FORD SALES INC,MA,4137817000
100 HANO STREET,TOWER,31910,ALLSTON,52313,ALLSTON TOWING SVC&RPR INC,BRIGHTON TOWING,MA,8008952886
2 EMERY ROAD,TOWER,31401,ALLSTON,52146,,D & G TOWING AND AUTO REPAIR S,MA,5082380056
207 ELM STREET,TOWER,15693,AMESBURY,3557,,AMESBURY COACH,MA,9784751146
100 HAVERHILL ROAD (RTE 110),TOWER,24234,AMESBURY,7235,ALFRED PRATT,AMESBURY TOWING,MA,9789562116
207R ELM STREET,TOWER,22488,AMESBURY,5277,,DELONG AUTO BODY,MA,9784751146
27 SOUTH HUNT ROAD,TOWER,3115,AMESBURY,1623,NEWBURYPORT TOWING SERVICE INC,NEWBURYPORT TOWING SERVICE INC,MA,9788477773
100 SUNDERLAND ROAD,TOWER,31680,AMHERST,52575,,AMHERST TOWING & RECOVERY LLC,MA,4139673327
260 COLLEGE STREET,TOWER,26144,AMHERST,7455,C & J ENTERPRISES,COLLEGE STREET MOTORS,MA,4137392900
9 LUPINE ROAD,TOWER,23607,ANDOVER,5711,,ELM STREET AUTOMOTIVE CENTRE,MA,9784750260
19 OLD SOUTH ROAD,TOWER,23087,AQUINNAH,5516,,WIDDISS RECOVERY,MA,5086932800
712 SUMMER STREET,TOWER,28853,ARLINGTON,29135,,"PALMER'S GARAGE, INC.",MA,7818178545
43 NICKERSON ROAD,TOWER,31399,ASHLAND,52145,,ADVANTAGE COLLISION CENTER INC,MA,5084594712
2 YALE STREET,TOWER,31860,ASHLAND,52828,J & M TOWING INC,J & M TOWING INC,MA,7812819688
71 SOUTH MAIN,TOWER,31551,ASSONET,52363,,MAIN STREET GAS&AUTO SALES INC,MA,5086760309
158 Marble Street,TOWER,31426,ATHOL,52183,DAVID M BISHOP,C & D TOWING,MA,9783454131
25 BICKFORD DRIVE,TOWER,30903,ATHOL,48753,One Luther Inc.,DALE'S AUTO BODY & GENERAL Rep,MA,9782493217
163 COLVIN STREET,TOWER,31147,ATTLEBORO,51820,,COASTAL COLLISION & TOWING INC,MA,4017221185
24 RICE STREET,TOWER,31364,ATTLEBORO,52103,,EAST COAST AUTO SALES&SVC INC,MA,5083781166
227 pine street,TOWER,25287,ATTLEBORO,6594,,MIKE'S TOWING & RECOVERY INC,MA,5082523312
